Kallakurichi	Tamil Nadu	A K T Memorial College of Engineering and Technology, Neelamangalam Village
Viluppuram	Tamil Nadu	A R Engineering College, Vadakuchipalayam
Tiruvarur	Tamil Nadu	A R J College of Engineering and Technology, Mannargudi Taluk
Chengalpattu	Tamil Nadu	A R M College of Engineering and Technology, Sattamangalam
Mayiladuthurai	Tamil Nadu	A V C College of Engineering, Mannampandal
Salem	Tamil Nadu	A V S Engineering College, Military Road
Virudhunagar	Tamil Nadu	AAA College of Engineering and Technology, Kamarajar Educational Road
Chennai	Tamil Nadu	Aalim Muhammed Salegh College of Engineering, Muthapudupet
Kancheepuram	Tamil Nadu	Adhi College of Engineering and Technology, Pazhayaseevaram
Ranipet	Tamil Nadu	Adhiparasakthi College of Engineering, Kalavai
Chengalpattu	Tamil Nadu	Adhiparasakthi Engineering College, Melmaruvathur
Krishnagiri	Tamil Nadu	Adhiyamaan College of Engineering (Autonomous), Hosur
Coimbatore	Tamil Nadu	Adithya Institute of Technology, Kurumbapalayam Village
Chengalpattu	Tamil Nadu	Agni College of Technology, Old Mahabalipuram Road (OMR)
Coimbatore	Tamil Nadu	Akshaya College of Engineering and Technology, Kinathukadavu
Sivaganga	Tamil Nadu	Alagappa Chettair Government College of Engineering and Technology (Autonomous), Karaikudi
Erode	Tamil Nadu	AL-Ameen Engineering College (Autonomous), Karundevan Palayam
Chennai	Tamil Nadu	Alpha College of Engineering
Kanyakumari	Tamil Nadu	AMRITA College of Engineering and Technology, Erachakulam
Chengalpattu	Tamil Nadu	Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR)
Tiruppur	Tamil Nadu	Angel College of Engineering and Technology, P.K.Palayam
Tiruvarur	Tamil Nadu	Anjalai Ammal Mahalingam Engineering College, Kovilvenni
Coimbatore	Tamil Nadu	Anna University Regional Campus - Coimbatore, Maruthamalai Main Road
Madurai	Tamil Nadu	Anna University Regional Campus - Madurai, Kanyakumari National Highway
Tirunelveli	Tamil Nadu	Anna University Regional Campus - Tirunelveli, Trivandrum Road
